Group,ReactionTime
Cell,636
Cell,623
Cell,615
Cell,672
Cell,601
Cell,600
Cell,542
Cell,554
Cell,543
Cell,520
Cell,609
Cell,559
Cell,595
Cell,565
Cell,573
Cell,554
Cell,626
Cell,501
Cell,574
Cell,468
Cell,578
Cell,560
Cell,525
Cell,647
Cell,456
Cell,688
Cell,679
Cell,960
Cell,558
Cell,482
Cell,527
Cell,536
Control,557
Control,572
Control,457
Control,489
Control,532
Control,506
Control,648
Control,485
Control,610
Control,444
Control,626
Control,626
Control,426
Control,585
Control,487
Control,436
Control,642
Control,476
Control,586
Control,565
Control,617
Control,528
Control,578
Control,472
Control,485
Control,539
Control,523
Control,479
Control,535
Control,603
Control,512
Control,449