Game,Difference,Run,Hits,Errors,Status
1,0,12,13,4,0
2,11,13,17,2,1
3,6,12,19,3,1
4,-21,2,8,6,-1
5,2,10,17,4,1
6,-11,6,7,5,-1
7,-4,3,8,4,-1
8,1,6,5,3,1
9,3,3,13,1,1
10,-13,6,13,6,-1
11,-3,7,16,4,-1
12,-4,2,7,3,-1
13,-3,2,10,0,-1
14,5,9,16,1,1
15,9,19,25,4,1
16,9,13,19,2,1
17,-7,5,9,3,-1
18,2,10,16,3,1
19,-6,9,13,3,-1
20,14,19,22,3,1
21,7,8,14,1,1
22,12,20,22,2,1
23,15,17,19,1,1
24,1,8,14,0,1
25,-7,2,5,3,-1
26,9,14,18,2,1
27,1,9,15,5,1
28,13,18,19,3,1
29,13,20,22,1,1
30,2,8,15,5,1
31,7,14,13,2,1
32,16,18,14,0,1
33,8,13,17,4,1
34,1,12,18,4,1
35,-6,5,9,7,-1
36,27,30,31,0,1
37,13,21,25,1,1
38,5,15,19,3,1
39,-2,6,13,4,-1
40,-3,11,11,3,-1
41,3,5,7,2,1
42,-7,1,3,5,-1
43,6,9,8,7,1
44,-1,8,11,5,-1
45,1,11,10,3,1
46,-6,2,6,4,-1
47,-8,4,11,4,-1
48,8,12,13,3,1
49,5,10,17,2,1
50,-3,12,14,4,-1
51,11,14,14,0,1
52,5,7,12,4,1
53,6,11,8,0,1
54,8,14,17,1,1
55,6,13,15,6,1
56,-1,3,11,6,-1
57,-2,2,6,6,-1
58,-3,4,12,3,-1
59,-7,6,12,6,-1
60,2,12,23,9,1
61,5,11,14,3,1
62,1,10,15,4,1
63,9,13,19,1,1
64,-7,2,11,6,-1
65,-3,3,7,5,-1
66,1,4,10,3,1
67,0,4,13,3,0
68,7,9,15,1,1
69,-6,6,15,7,-1
70,0,6,15,8,0
71,7,15,20,3,1
72,-3,3,6,6,-1
73,12,16,19,1,1
74,2,12,18,3,1
75,1,15,23,7,1
76,-8,5,11,4,-1
77,12,13,16,1,1
78,-7,4,9,7,-1
79,-3,5,12,6,-1
80,-2,4,12,5,-1
81,4,5,9,4,1
82,-4,2,12,6,-1
83,1,9,12,3,1
84,12,16,21,3,1
85,10,15,17,3,1
86,-3,8,14,1,-1
87,-2,12,15,9,-1
88,-7,7,15,7,-1
89,12,14,20,2,1
90,-5,11,18,10,-1
91,9,10,18,0,1
92,12,15,16,1,1
93,-4,2,9,5,-1
94,7,14,16,4,1
95,14,16,20,1,1
96,5,12,16,3,1
97,1,10,11,3,1
98,-16,1,5,2,-1
99,3,7,10,2,1
100,5,6,12,3,1
101,-5,4,12,5,-1
102,-12,1,5,6,-1
103,4,7,11,1,1
104,6,13,15,3,1
105,-8,2,11,5,-1
106,2,7,12,4,1
107,8,10,11,5,1
108,-8,4,9,6,-1
109,-1,8,12,4,-1
110,-1,7,12,6,-1
111,-5,7,15,6,-1
112,-9,10,8,9,-1
113,1,5,11,4,1
114,-8,5,7,4,-1
115,4,13,16,5,1
116,5,6,14,2,1
117,2,9,15,4,1
118,-12,2,8,5,-1
119,15,17,14,3,1
120,16,18,15,2,1
121,0,13,17,3,0
122,1,13,18,8,1
123,20,25,22,1,1
124,2,6,9,3,1
125,20,20,19,2,1
126,22,24,25,4,1
127,4,4,9,2,1
128,-10,7,11,6,-1
129,0,10,15,2,0
130,15,15,17,2,1
131,-3,10,13,5,-1
132,4,8,16,3,1
133,6,12,16,3,1
134,11,12,10,3,1
135,7,19,23,6,1
136,7,8,13,1,1
137,-2,7,14,3,-1
138,5,9,10,4,1
139,1,7,13,3,1
140,11,18,19,4,1
141,3,10,12,4,1
142,2,12,17,4,1
143,8,11,14,0,1
144,8,13,16,3,1
145,6,10,17,4,1
146,-6,6,6,2,-1
147,10,12,11,2,1
148,-9,6,12,3,-1
149,4,14,17,2,1
150,-11,3,5,4,-1
151,12,12,16,0,1
152,11,17,17,0,1
153,8,10,16,2,1
154,22,22,28,2,1
155,8,11,13,0,1
156,-5,5,16,5,-1
157,4,10,15,4,1
158,2,8,12,5,1
159,1,5,11,4,1
160,1,5,13,5,1
161,7,18,20,5,1
162,1,14,17,8,1
163,9,12,12,2,1
164,-4,3,6,1,-1
165,3,8,18,2,1
166,1,10,17,4,1
167,1,14,18,3,1
168,-1,13,16,5,-1
169,14,14,17,0,1
170,1,11,13,8,1
171,16,16,13,1,1
172,13,16,18,2,1
173,10,13,18,2,1
174,2,8,10,2,1
175,11,16,21,6,1
176,8,12,16,4,1
177,16,19,22,2,1
178,11,16,21,3,1
179,5,10,14,2,1
180,8,14,21,4,1
181,1,7,15,2,1
182,4,9,13,1,1
183,-2,6,9,2,-1
184,1,11,14,4,1
185,-1,8,13,6,-1
186,5,8,16,4,1
187,19,19,19,0,1
188,8,14,17,3,1
189,-15,1,6,4,-1
190,-1,10,13,6,-1
191,8,17,24,4,1
192,-7,7,12,5,-1
193,18,19,25,1,1
194,5,13,19,4,1
195,6,14,20,0,1
196,1,11,19,5,1
197,9,13,16,3,1
198,-1,9,14,5,-1
199,9,9,13,2,1
200,22,29,37,5,1
201,10,10,13,1,1
202,7,14,22,0,1
203,10,13,17,2,1
204,12,18,25,2,1
205,9,21,25,1,1
206,29,30,28,1,1
207,2,14,22,3,1
208,5,6,13,0,1
209,1,6,11,4,1
210,11,17,19,5,1
211,15,16,13,2,1
212,8,14,24,2,1
213,8,12,16,4,1
214,1,8,15,2,1
215,2,6,12,1,1
216,11,12,15,2,1
217,10,13,14,2,1
218,-7,13,17,6,-1
219,1,8,10,2,1
220,-2,7,13,5,-1
221,10,10,13,1,1
222,2,9,11,4,1
223,14,15,22,2,1
224,2,13,20,6,1
225,10,15,13,3,1
226,11,15,22,0,1
227,-2,7,15,3,-1
228,9,20,21,6,1
229,11,20,20,2,1
230,4,19,17,4,1
231,-6,2,10,1,-1
232,-3,9,15,4,-1
233,-1,12,9,4,-1
234,-13,2,8,3,-1
235,6,11,13,2,1
236,8,15,23,1,1
237,-5,8,13,6,-1
238,10,15,19,4,1
239,-5,6,11,3,-1
240,4,10,15,3,1
241,9,15,15,2,1
242,-4,9,10,5,-1
243,5,9,13,2,1
244,3,15,18,2,1
245,-1,7,16,6,-1
246,10,22,17,6,1
247,1,18,21,3,1
248,-14,1,7,4,-1
249,-1,7,12,4,-1
250,-3,10,10,7,-1
251,-9,6,15,8,-1
252,3,14,20,5,1
253,6,6,12,3,1
254,5,13,18,2,1
255,1,10,10,2,1
256,-1,14,13,2,-1
257,-10,4,10,3,-1
258,17,21,16,2,1
259,-6,6,15,4,-1
260,1,5,12,3,1
261,-1,12,18,3,-1
262,-2,11,14,2,-1
263,15,16,10,0,1
264,12,16,17,2,1
265,8,10,11,1,1
266,5,9,12,3,1
267,1,7,9,2,1
268,3,9,13,1,1
269,-1,10,10,4,-1
270,1,12,17,4,1
271,11,11,10,3,1
272,10,17,25,2,1
273,-4,4,11,1,-1
274,0,8,14,3,0
275,-5,8,10,4,-1
276,15,17,16,2,1
277,10,11,15,2,1